created_str,polarity,subjectivity,polarity_2,subjectivity_2
2015-01-01,0.23611111111111108,0.4000000000000001,0.23611111111111108,0.4000000000000001
2015-02-01,0.11158549783549782,0.3136341991341991,0.10304978354978354,0.30809848484848484
2015-03-01,-0.08927266081871345,0.3879385964912281,-0.08927266081871345,0.3879385964912281
2015-04-01,0.09701927281472737,0.3083731251913069,0.08551584568630025,0.2875397918579736
2015-05-01,-0.0004894179894179919,0.14812169312169315,-0.02349353321575544,0.13170194003527338
2015-06-01,-0.0005387806637806664,0.23646043019480523,0.0017841360028860026,0.20595001352813852
2015-07-01,0.09242346938775511,0.3134089191232049,0.08885204081632654,0.29078987150415725
2015-08-01,0.12890808791376973,0.3216567221183698,0.13185292453758365,0.30471481249180116
2015-09-01,0.06979166666666667,0.14444444444444446,0.02291666666666667,0.14444444444444446
2015-10-01,0.05423970554405337,0.3059052219921785,0.03522659305268,0.2500046008741661
2015-11-01,0.017358345925562894,0.2440342043526006,0.013300868636953537,0.22849655585504644
2015-12-01,0.03481830039816152,0.3701568896638342,0.07657287491315266,0.2977216493640106
2016-01-01,0.06196190425170248,0.3288630645637372,0.061119366122168825,0.2825040548639202
2016-02-01,0.0496998229403283,0.24399742109520822,0.05487704227424617,0.22315017700932782
2016-03-01,0.04272451956252751,0.3111000453381195,0.047945564140904215,0.28746412573488567
2016-04-01,0.10680035650623886,0.270431202784144,0.10531788472964941,0.2594983447924624
2016-05-01,0.09742509258707653,0.36986174821610596,0.09284248737373736,0.35093472404252213
2016-06-01,0.03907746276812731,0.29286470034887746,0.026133629468281343,0.28846445923977554
2016-07-01,0.03141171592404976,0.27654454423350294,0.03265387454915113,0.25266295678578
2016-08-01,0.03558883036231117,0.2561819275089538,0.029711949132434894,0.2432845799802181
2016-09-01,0.03975172569645027,0.29196800049968463,0.03229218038363183,0.2829451790028818
2016-10-01,0.03342028642381717,0.3071203936890017,0.02589925808854085,0.2961077033381349
2016-11-01,0.05479930217620349,0.2895484567733762,0.0537745215706481,0.2832047761031802
2016-12-01,0.040313108943159016,0.29096537951429513,0.04056328427685183,0.2836540850323046
2017-01-01,0.038862394651322206,0.311205770822066,0.035968023670552296,0.30454526399895954
2017-02-01,0.048193567359520115,0.3046564666972579,0.04249480655235638,0.2953222638994964
2017-03-01,0.029429032094276993,0.29384653449648834,0.022965300066478123,0.2829232248759876
2017-04-01,0.018190197724669368,0.32635852263429577,0.015552908038410616,0.31716964068768183
2017-05-01,-0.13720238095238096,0.33854166666666663,-0.13720238095238096,0.33854166666666663
2017-06-01,0.0,0.0,0.0,0.0
2017-07-01,0.017727215847175515,0.2782043270349721,0.0012972636309329859,0.2628669687540655
2017-08-01,0.0565086656841976,0.2597682754597647,0.05226812194897301,0.2479183936630745
2017-09-01,0.0,0.0,0.0,0.0
