created_str,polarity,subjectivity
2015-01-01,0.23611111111111108,0.4000000000000001
2015-02-01,0.11158549783549782,0.3136341991341991
2015-03-01,-0.08927266081871345,0.3879385964912281
2015-04-01,0.09701927281472737,0.3083731251913069
2015-05-01,-0.0004894179894179919,0.14812169312169315
2015-06-01,-0.0005387806637806664,0.23646043019480523
2015-07-01,0.09242346938775511,0.3134089191232049
2015-08-01,0.12890808791376973,0.3216567221183698
2015-09-01,0.06979166666666667,0.14444444444444446
2015-10-01,0.05423970554405337,0.3059052219921785
2015-11-01,0.017358345925562894,0.2440342043526006
2015-12-01,0.03481830039816152,0.3701568896638342
2016-01-01,0.06196190425170248,0.3288630645637372
2016-02-01,0.0496998229403283,0.24399742109520822
2016-03-01,0.04272451956252751,0.3111000453381195
2016-04-01,0.10680035650623886,0.270431202784144
2016-05-01,0.09742509258707653,0.36986174821610596
2016-06-01,0.03907746276812731,0.29286470034887746
2016-07-01,0.03141171592404976,0.27654454423350294
2016-08-01,0.03558883036231117,0.2561819275089538
2016-09-01,0.03975172569645027,0.29196800049968463
2016-10-01,0.03342028642381717,0.3071203936890017
2016-11-01,0.05479930217620349,0.2895484567733762
2016-12-01,0.040313108943159016,0.29096537951429513
2017-01-01,0.038862394651322206,0.311205770822066
2017-02-01,0.048193567359520115,0.3046564666972579
2017-03-01,0.029429032094276993,0.29384653449648834
2017-04-01,0.018190197724669368,0.32635852263429577
2017-05-01,-0.13720238095238096,0.33854166666666663
2017-06-01,0.0,0.0
2017-07-01,0.017727215847175515,0.2782043270349721
2017-08-01,0.0565086656841976,0.2597682754597647
2017-09-01,0.0,0.0
