created_str,polarity,subjectivity,polarity_2,subjectivity_2
2015-01-01,0.23611111111111108,0.4000000000000001,0.23611111111111108,0.4000000000000001
2015-02-01,-0.01944444444444444,0.6,-0.01944444444444444,0.6
2015-03-01,0.7,0.6000000000000001,0.7,0.6000000000000001
2015-04-01,0.0,0.0,0.0,0.0
2015-05-01,0.0225,0.05500000000000001,-0.029166666666666674,0.065
2015-06-01,-0.006438861684763322,0.2500489674260166,-0.003078205947058403,0.24406536086863956
2015-07-01,0.10668029259896733,0.3670634920634919,0.1021622203098107,0.33844903423216666
2015-08-01,0.13224073715118487,0.3208900483154215,0.1351484460812819,0.30667048954362397
2015-09-01,0.10833333333333334,0.12222222222222223,0.10833333333333334,0.12222222222222223
2015-10-01,0.13097476597476596,0.3393854293854295,0.07810541310541311,0.29176638176638175
2015-11-01,0.056781174843674835,0.24016732804232802,0.04855895262145262,0.23498677248677247
2015-12-01,0.10480689677047948,0.33790396939018996,0.09695904962637247,0.3352398492802038
2016-01-01,0.104115904003404,0.3425581686831686,0.09159666398416395,0.3141377742627742
2016-02-01,0.07890606561484213,0.22835301322003448,0.07308403402153395,0.21602719679847357
2016-03-01,0.033062786494526146,0.30827360864515263,0.03808390230481243,0.29618521039892026
2016-04-01,0.1144949494949495,0.2641624579124579,0.1228114478114478,0.2424242424242424
2016-05-01,0.11856481192418696,0.34563555657305656,0.10688390024327525,0.34235475172975155
2016-06-01,0.0745935798561849,0.31100133992991136,0.06457373858634362,0.3131955509476518
2016-07-01,0.052006701418933446,0.2806541867692515,0.04437533538398653,0.2703996719692149
2016-08-01,0.04749294221681997,0.25145429438993633,0.04400570946509568,0.2407559415746096
2016-09-01,0.05431728839269362,0.30711253535352034,0.047436826948344536,0.3001495909927515
2016-10-01,0.0407230480575368,0.31798436748225933,0.03380751858239959,0.30700776967888227
2016-11-01,0.06105243102982071,0.283684953590048,0.061674505992713624,0.2793105046503565
2016-12-01,0.043833210589796515,0.2911779523720713,0.04291706094892626,0.2878922279600831
2017-01-01,0.03879415837546731,0.31484212484049445,0.03518437288843128,0.30970952902781784
2017-02-01,0.051719231420797804,0.3033948247969106,0.0456338659033862,0.29413603945467515
2017-03-01,0.034460006486141656,0.29396308587966424,0.028168447816019106,0.28614252502650045
2017-04-01,0.014690535822707953,0.32206652788619994,0.013169766064233273,0.3136914289919754
2017-05-01,-0.13720238095238094,0.33854166666666663,-0.13720238095238094,0.33854166666666663
2017-06-01,0.0,0.0,0.0,0.0
2017-07-01,0.01609183973484245,0.2771274965976053,0.002200692385814665,0.2670582105092975
2017-08-01,0.05207571749238416,0.26575797659130995,0.047646705146705146,0.25338143338143343
2017-09-01,0.0,0.0,0.0,0.0
