created_str,polarity,subjectivity
2015-01-01,0.23611111111111108,0.4000000000000001
2015-02-01,-0.01944444444444444,0.6
2015-03-01,0.7,0.6000000000000001
2015-04-01,0.0,0.0
2015-05-01,0.0225,0.05500000000000001
2015-06-01,-0.006438861684763312,0.2500489674260166
2015-07-01,0.1066802925989673,0.36706349206349204
2015-08-01,0.13224073715118492,0.32089004831542145
2015-09-01,0.10833333333333334,0.12222222222222223
2015-10-01,0.13097476597476598,0.3393854293854294
2015-11-01,0.056781174843674835,0.240167328042328
2015-12-01,0.10480689677047947,0.3379039693901901
2016-01-01,0.10411590400340402,0.3425581686831686
2016-02-01,0.07890606561484217,0.22835301322003448
2016-03-01,0.033062786494526125,0.3082736086451527
2016-04-01,0.1144949494949495,0.26416245791245796
2016-05-01,0.11856481192418694,0.3456355565730565
2016-06-01,0.07459357985618488,0.31100133992991114
2016-07-01,0.05200670141893352,0.2806541867692518
2016-08-01,0.04749294221681984,0.2514542943899368
2016-09-01,0.05431728839269345,0.3071125353535185
2016-10-01,0.040723048057536626,0.3179843674822589
2016-11-01,0.061052431029820754,0.28368495359004653
2016-12-01,0.04383321058979651,0.2911779523720717
2017-01-01,0.03879415837546737,0.31484212484049323
2017-02-01,0.051719231420797714,0.3033948247969111
2017-03-01,0.034460006486141656,0.29396308587966463
2017-04-01,0.014690535822707948,0.32206652788619994
2017-05-01,-0.13720238095238096,0.33854166666666663
2017-06-01,0.0,0.0
2017-07-01,0.016091839734842447,0.2771274965976052
2017-08-01,0.05207571749238416,0.2657579765913099
2017-09-01,0.0,0.0
