created_str,polarity,subjectivity
2015-02-01,0.12945321723730813,0.27458431719795356
2015-03-01,-0.13312114197530864,0.3761574074074074
2015-04-01,0.1049716722257706,0.3336496108627255
2015-05-01,0.0006215213358070493,0.1548423005565863
2015-06-01,0.003096622793592492,0.22808769513314966
2015-07-01,0.038636363636363635,0.11098484848484849
2015-08-01,0.06494047619047619,0.2875330687830688
2015-09-01,0.08392857142857144,0.19999999999999998
2015-10-01,-0.045515873015873023,0.2623809523809523
2015-11-01,-0.015021349670472481,0.24784414740555089
2015-12-01,-0.11048727695069158,0.42869485603225443
2016-01-01,-0.005767704517704517,0.2910607448107449
2016-02-01,-0.030905870988515608,0.2691796954193647
2016-03-01,0.07120239626725479,0.3107074564150036
2016-04-01,0.1073529411764706,0.2827731092436975
2016-05-01,0.08962073465749935,0.4314005602240896
2016-06-01,0.020801355305878316,0.2828932534935824
2016-07-01,0.003461524889533384,0.261869036719183
2016-08-01,0.02412181598340716,0.2642477574296451
2016-09-01,0.021058562020005268,0.27731407409191194
2016-10-01,0.019208936685982357,0.29353225942501926
2016-11-01,0.02929883104254515,0.28083673821294286
2016-12-01,0.03144284905584162,0.3005057880490905
2017-01-01,0.04943003800183957,0.26832568466249934
2017-02-01,-0.0019448039421997728,0.30857064193522526
2017-03-01,0.002022589750656518,0.29929245874898047
2017-04-01,0.06003787878787879,0.3839556277056277
2017-07-01,0.20454545454545453,0.42556818181818185
2017-08-01,0.05231481481481481,0.17962962962962967
