created_str,polarity,subjectivity,polarity_2,subjectivity_2
2015-02-01,0.12945321723730815,0.2745843171979536,0.11975354191263281,0.2682937327823692
2015-03-01,-0.13312114197530864,0.37615740740740744,-0.13312114197530864,0.37615740740740744
2015-04-01,0.1049716722257706,0.33364961086272565,0.09252534123435764,0.3111086272561683
2015-05-01,0.0006215213358070438,0.15484230055658627,-0.027149041434755723,0.1440630797773655
2015-06-01,0.003096622793592474,0.22808769513314966,0.005790225487195172,0.20266681971227418
2015-07-01,0.038636363636363635,0.11098484848484848,0.038636363636363635,0.11098484848484848
2015-08-01,0.06494047619047619,0.2875330687830688,0.10521825396825397,0.2751719576719577
2015-09-01,0.08392857142857144,0.19999999999999998,0.003571428571428575,0.19999999999999998
2015-10-01,-0.04551587301587303,0.2623809523809524,-0.04551587301587303,0.22904761904761903
2015-11-01,-0.015021349670472481,0.24784414740555089,-0.015354358117516008,0.22349391998514803
2015-12-01,-0.11048727695069177,0.42869485603225455,-0.1190238623165454,0.4213777828615228
2016-01-01,-0.005767704517704569,0.29106074481074484,-0.021921550671550712,0.2859325396825397
2016-02-01,-0.030905870988515608,0.2691796954193648,-0.03492618779292323,0.278132863463442
2016-03-01,0.07120239626725476,0.3107074564150036,0.05405569338941978,0.2836364317024692
2016-04-01,0.10735294117647058,0.2827731092436975,0.08529411764705883,0.2960084033613446
2016-05-01,0.08962073465749935,0.4314005602240896,0.056070314489432116,0.4644677871148458
2016-06-01,0.020801355305878327,0.2828932534935824,0.00714788569434949,0.2736566202437913
2016-07-01,0.0034615248895333503,0.2618690367191827,-0.006057668453673229,0.2542118215537438
2016-08-01,0.02412181598340706,0.26424775742964485,0.011287000564981947,0.2475704208301142
2016-09-01,0.0210585620200056,0.2773140740919109,0.012088208843447653,0.27151325750881233
2016-10-01,0.019208936685982527,0.2935322594250202,0.010092357721346775,0.2851256510436118
2016-11-01,0.029298831042544944,0.28083673821294325,0.025551267523268903,0.27526681056159336
2016-12-01,0.031442849055841646,0.30050578804909067,0.034849324398978046,0.2894305714600174
2017-01-01,0.04943003800183953,0.2683256846624993,0.04747838168986995,0.264587022082453
2017-02-01,-0.0019448039421997632,0.30857064193522526,-0.008619186658249145,0.32113854316979323
2017-03-01,0.002022589750656496,0.2992924587489805,0.00841492929516995,0.2955139908400778
2017-04-01,0.0600378787878788,0.38395562770562774,0.0600378787878788,0.38395562770562774
2017-07-01,0.20454545454545453,0.42556818181818185,0.17954545454545456,0.41931818181818187
2017-08-01,0.05231481481481481,0.17962962962962967,0.10416666666666667,0.08333333333333333
